window_start,device_mac,anomaly_score,is_anomaly
1785313273.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313273.519992,08:00:27:8a:0d:75,0.00014185891305285026,False
1785313273.519992,08:00:27:a5:9e:2d,0.017591517286155323,False
1785313283.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313283.519992,08:00:27:8a:0d:75,-0.12670227673692103,True
1785313283.519992,08:00:27:a5:9e:2d,-0.14730836327260877,True
1785313293.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313293.519992,08:00:27:8a:0d:75,0.09656281280357665,False
1785313293.519992,08:00:27:a5:9e:2d,0.09249741313823134,False
1785313303.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313303.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313303.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313313.519992,08:00:27:5a:87:bc,-0.32276933594547874,True
1785313313.519992,08:00:27:8a:0d:75,0.09806002870546854,False
1785313313.519992,08:00:27:a5:9e:2d,0.09806002870546854,False
1785313323.519992,08:00:27:5a:87:bc,-0.3617145118865831,True
1785313323.519992,08:00:27:8a:0d:75,-0.11847284808567393,True
1785313323.519992,08:00:27:a5:9e:2d,-0.11847284808567393,True
1785313333.519992,08:00:27:5a:87:bc,-0.36357854100372466,True
1785313333.519992,08:00:27:8a:0d:75,0.09910763572858139,False
1785313333.519992,08:00:27:a5:9e:2d,0.09910763572858139,False
1785313343.519992,08:00:27:5a:87:bc,-0.36198053158453625,True
1785313343.519992,08:00:27:8a:0d:75,0.0026953984572453127,False
1785313343.519992,08:00:27:a5:9e:2d,0.0032824585407104645,False
1785313353.519992,08:00:27:5a:87:bc,-0.3595895909350736,True
1785313353.519992,08:00:27:8a:0d:75,0.0824151138931779,False
1785313353.519992,08:00:27:a5:9e:2d,0.08383815857898658,False
1785313363.519992,08:00:27:5a:87:bc,-0.36357854100372466,True
1785313363.519992,08:00:27:8a:0d:75,0.0036062587297290283,False
1785313363.519992,08:00:27:a5:9e:2d,0.0036062587297290283,False
1785313373.519992,08:00:27:5a:87:bc,-0.3595895909350736,True
1785313373.519992,08:00:27:8a:0d:75,-0.12231685827483141,True
1785313373.519992,08:00:27:a5:9e:2d,-0.12231685827483141,True
1785313383.519992,08:00:27:5a:87:bc,-0.35592395321416703,True
1785313383.519992,08:00:27:8a:0d:75,-0.0068739287208128275,True
1785313383.519992,08:00:27:a5:9e:2d,0.0042713196493529,False
1785313393.519992,08:00:27:5a:87:bc,-0.36357854100372466,True
1785313393.519992,08:00:27:8a:0d:75,-0.13569350442644335,True
1785313393.519992,08:00:27:a5:9e:2d,-0.16271396340852107,True
1785313403.519992,08:00:27:5a:87:bc,-0.32825416811037034,True
1785313403.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313403.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313413.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313413.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313413.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313423.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313423.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313423.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313433.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313433.519992,08:00:27:8a:0d:75,0.10106695228638912,False
